#{"t_start": 1743685495.1561525, "env_id": "LanguageLearningEnv-v0"}
576.0,41,69.457163
560.0,41,69.520299
671.0,41,69.578399
600.0,41,69.638539
633.0,41,69.696222
632.0,41,69.759905
419.0,37,69.80799
622.0,41,69.856589
737.0,51,69.923758
478.0,54,69.989881
515.0,41,70.041487
580.0,41,70.095602
632.0,41,70.155691
651.0,41,70.211279
628.0,41,70.255343
653.0,51,70.310941
613.0,41,70.363494
689.0,51,70.452688
716.0,51,70.529857
687.0,41,70.588524
651.0,41,70.642617
748.0,51,70.728306
641.0,41,70.803017
613.0,41,70.886759
640.0,41,70.969838
635.0,41,71.028545
606.0,43,71.091265
634.0,41,71.147901
613.0,41,71.205519
617.0,41,71.263634
620.0,41,71.31873
619.0,42,71.381876
625.0,42,71.442262
632.0,41,71.503913
767.0,51,71.577092
660.0,41,71.629703
669.0,41,71.687325
598.0,54,71.760507
627.0,41,71.815632
632.0,41,71.872296
622.0,42,71.929762
499.0,41,71.987799
610.0,41,72.044084
542.0,41,72.091889
636.0,41,72.135854
668.0,51,72.193964
630.0,41,72.241506
597.0,41,72.293816
596.0,51,72.367308
612.0,41,72.445446
577.0,41,72.509624
583.0,42,72.571815
594.0,41,72.629491
672.0,51,72.701732
586.0,41,72.760894
590.0,41,72.828598
592.0,41,72.88386
681.0,41,72.939456
644.0,42,72.991062
734.0,52,73.052169
662.0,41,73.107324
598.0,41,73.171244
664.0,51,73.241099
673.0,41,73.293693
738.0,52,73.35879
651.0,41,73.404871
630.0,41,73.450481
632.0,41,73.494128
560.0,41,73.545743
687.0,41,73.59687
617.0,41,73.647443
539.0,41,73.69652
625.0,42,73.750601
647.0,41,73.820692
788.0,51,73.8978
698.0,51,73.956896
620.0,41,73.999476
698.0,41,74.045047
580.0,41,74.098146
592.0,41,74.144717
466.0,47,74.210375
611.0,46,74.26
643.0,51,74.324672
587.0,42,74.373241
632.0,41,74.41881
677.0,51,74.478903
672.0,42,74.537551
518.0,41,74.594248
625.0,41,74.670447
757.0,52,74.777375
652.0,51,74.877438
518.0,41,74.948118
644.0,41,75.025278
664.0,41,75.383056
608.0,52,75.47249
632.0,41,75.547293
609.0,42,75.612519
708.0,41,75.689746
579.0,41,75.757562
701.0,51,75.857664
680.0,41,75.920346
582.0,44,75.985536
541.0,42,76.126061
509.0,42,76.196757
624.0,41,76.254905
704.0,51,76.327124
633.0,41,76.389889
552.0,41,76.447998
614.0,45,76.509634
575.0,41,76.565247
689.0,41,76.627395
606.0,43,76.689449
128.0,17,76.718007
538.0,41,76.768617
630.0,41,76.825048
618.0,43,76.889936
767.0,51,76.960566
708.0,41,77.142333
718.0,51,77.208441
613.0,41,77.264547
723.0,51,77.336746
480.0,41,77.398413
559.0,41,77.463089
650.0,46,77.531257
603.0,42,77.60061
687.0,41,77.666837
575.0,41,77.727727
617.0,41,77.796497
732.0,51,77.878345
621.0,41,77.953586
609.0,41,78.022776
644.0,42,78.11005
574.0,40,78.18175
631.0,43,78.252552
605.0,51,78.327767
667.0,41,78.38191
541.0,41,78.435982
670.0,41,78.488105
616.0,52,78.562266
576.0,41,78.620883
634.0,41,78.674141
570.0,44,78.740031
625.0,42,78.80078
763.0,51,78.87947
620.0,43,78.93408
599.0,41,78.988217
613.0,41,79.04032
605.0,42,79.095435
732.0,53,79.167078
576.0,41,79.21817
607.0,41,79.2763
566.0,41,79.331971
579.0,51,79.402131
567.0,41,79.457754
558.0,41,79.516432
630.0,51,79.581104
752.0,51,79.656276
629.0,41,79.713965
564.0,41,79.776121
497.0,47,79.85149
590.0,41,79.917761
665.0,51,79.984074
617.0,41,80.046678
595.0,41,80.100302
606.0,41,80.148384
572.0,41,80.217556
559.0,41,80.288788
594.0,41,80.342921
596.0,41,80.399562
610.0,42,80.453882
609.0,42,80.507
704.0,41,80.563161
463.0,42,80.621839
671.0,41,80.677428
632.0,41,80.736044
610.0,41,80.788132
618.0,41,80.836736
615.0,41,80.893101
645.0,42,80.956981
625.0,42,81.085408
532.0,42,81.1536
627.0,42,81.213266
647.0,41,81.267899
725.0,51,81.346122
673.0,41,81.404268
573.0,41,81.470718
616.0,41,81.532881
479.0,41,81.594543
491.0,43,81.649643
553.0,42,81.701758
614.0,41,81.755367
193.0,26,81.786936
629.0,42,81.851084
689.0,41,81.903234
573.0,41,81.951835
591.0,41,82.017953
689.0,41,82.092709
689.0,41,82.162037
719.0,51,82.236471
586.0,41,82.288876
591.0,41,82.347986
482.0,43,82.406629
701.0,51,82.479509
607.0,41,82.533157
575.0,41,82.587772
613.0,41,82.641889
590.0,41,82.701553
668.0,41,82.764708
518.0,41,82.819595
615.0,41,82.88169
636.0,41,83.186299
558.0,41,83.250455
632.0,41,83.322696
578.0,41,83.381854
615.0,41,83.448018
575.0,41,83.518405
618.0,43,83.596109
568.0,41,83.785618
600.0,42,83.848315
589.0,41,83.911519
582.0,42,83.960141
656.0,41,84.018308
668.0,51,84.094944
632.0,41,84.161638
556.0,41,84.232863
689.0,47,84.311674
578.0,42,84.386853
582.0,41,84.452035
613.0,41,84.514701
625.0,41,84.578836
768.0,51,84.647675
627.0,41,84.712832
730.0,52,84.791024
561.0,41,84.861212
578.0,41,84.929447
605.0,41,84.992088
613.0,41,85.050381
601.0,41,85.112026
607.0,41,85.186735
611.0,41,85.252909
609.0,41,85.323868
607.0,42,85.393558
562.0,41,85.458238
628.0,41,85.527421
573.0,41,85.586574
52.0,11,85.602127
595.0,41,85.653736
625.0,42,85.712413
549.0,42,85.773566
591.0,41,85.833762
556.0,41,85.888404
635.0,51,85.963151
579.0,41,86.021832
645.0,41,86.084968
575.0,41,86.140587
660.0,42,86.203232
596.0,41,86.268403
648.0,41,86.322681
651.0,41,86.378269
629.0,41,86.42837
538.0,41,86.489671
677.0,51,86.561405
604.0,41,86.619599
577.0,41,86.669942
659.0,41,86.717577
595.0,41,86.775725
580.0,51,86.844858
677.0,51,86.910967
526.0,41,86.96155
598.0,41,87.007177
629.0,41,87.067333
561.0,41,87.135567
613.0,41,87.198244
594.0,41,87.25538
583.0,41,87.313032
648.0,41,87.361618
568.0,42,87.404704
592.0,41,87.451288
579.0,41,87.498399
620.0,41,87.549506
642.0,52,87.616626
600.0,41,87.663203
677.0,41,87.724447
604.0,45,87.778031
648.0,42,87.833667
660.0,51,87.900791
588.0,42,87.96396
611.0,43,88.013067
596.0,41,88.063652
652.0,41,88.119741
625.0,51,88.190374
564.0,41,88.247968
528.0,42,88.301051
540.0,42,88.414904
490.0,38,88.497122
629.0,41,88.630641
617.0,41,88.723832
629.0,41,88.821481
607.0,41,88.89842
577.0,41,88.963595
591.0,41,89.026252
732.0,52,89.099413
731.0,51,89.168054
629.0,41,89.22222
654.0,41,89.274861
629.0,51,89.344063
710.0,51,89.405666
627.0,51,89.465771
633.0,51,89.531586
591.0,41,89.589746
678.0,51,89.705592
653.0,41,89.781033
631.0,41,89.861737
681.0,51,89.932771
641.0,53,90.012469
625.0,43,90.068066
632.0,41,90.131217
598.0,41,90.310322
594.0,41,90.362694
655.0,41,90.418835
561.0,41,90.470956
560.0,41,90.523113
613.0,41,90.569721
686.0,41,90.617309
548.0,41,90.665876
646.0,41,90.719456
500.0,42,90.772112
545.0,43,90.827267
686.0,51,91.090143
595.0,41,91.155838
670.0,41,91.22774
607.0,41,91.295368
574.0,42,91.364558
633.0,44,91.438732
589.0,43,91.511998
641.0,41,91.581675
569.0,42,91.643315
707.0,41,91.699444
742.0,51,91.769608
638.0,52,91.852336
552.0,41,91.920555
734.0,51,92.019794
570.0,42,92.109595
561.0,41,92.176792
645.0,51,92.305711
619.0,41,92.391476
560.0,41,92.464675
367.0,35,92.508269
490.0,42,92.579434
659.0,52,92.664174
591.0,41,92.748616
648.0,41,92.828225
670.0,41,92.895865
660.0,41,92.957575
637.0,44,93.015683
651.0,41,93.063478
613.0,41,93.114208
292.0,24,93.142646
653.0,41,93.202937
696.0,51,93.269482
753.0,51,93.339763
635.0,41,93.384881
665.0,52,93.457416
601.0,41,93.51214
684.0,41,93.563198
574.0,43,93.618826
632.0,41,93.677948
699.0,52,93.767592
615.0,41,93.834244
689.0,41,93.897177
516.0,41,93.945761
542.0,41,94.000876
702.0,41,94.042453
704.0,52,94.099545
660.0,51,94.156644
742.0,51,94.22528
616.0,41,94.289436
642.0,42,94.332048
587.0,41,94.378139
575.0,41,94.427749
666.0,41,94.474346
586.0,41,94.515416
566.0,41,94.567546
558.0,61,94.648187
605.0,41,94.698781
530.0,43,94.767883
628.0,51,94.842502
666.0,51,94.902602
544.0,41,94.949722
586.0,41,95.004359
632.0,41,95.07154
584.0,42,95.124144
627.0,41,95.183774
648.0,41,95.24539
602.0,41,95.302497
576.0,42,95.37173
510.0,41,95.445718
632.0,41,95.495878
652.0,41,95.552572
633.0,41,95.605186
635.0,41,95.650272
554.0,41,95.696343
591.0,41,95.750952
651.0,41,95.808606
591.0,41,95.864251
584.0,41,95.908307
659.0,41,95.955383
647.0,41,96.000962
602.0,41,96.063566
611.0,41,96.116138
633.0,43,96.169785
537.0,41,96.221419
614.0,41,96.266983
619.0,41,96.320095
708.0,41,96.371197
638.0,45,96.421791
662.0,41,96.465355
534.0,44,96.66395
617.0,41,96.709536
611.0,41,96.755646
689.0,51,96.820982
514.0,41,96.877084
689.0,53,96.938682
590.0,41,96.985252
607.0,43,97.043846
636.0,41,97.089422
653.0,41,97.132504
668.0,41,97.180588
570.0,44,97.22665
607.0,41,97.280257
645.0,41,97.333883
623.0,41,97.382043
626.0,51,97.439658
564.0,41,97.488723
613.0,41,97.534297
709.0,51,97.598483
640.0,51,97.670917
649.0,42,97.738071
649.0,41,97.786157
629.0,41,97.835746
685.0,51,97.900456
552.0,41,97.950578
574.0,51,98.003153
554.0,43,98.194986
523.0,41,98.24311
636.0,41,98.289713
569.0,42,98.331831
655.0,41,98.37992
636.0,41,98.429525
624.0,41,98.47318
553.0,42,98.526798
661.0,41,98.586949
541.0,41,98.647565
636.0,41,98.696141
633.0,41,98.739314
605.0,41,98.799447
613.0,41,98.846567
618.0,41,98.892154
588.0,42,98.970064
637.0,52,99.074366
671.0,51,99.16209
767.0,51,99.227208
720.0,51,99.302354
527.0,41,99.349481
578.0,41,99.394572
562.0,41,99.447166
646.0,41,99.502317
651.0,41,99.567991
600.0,41,99.615585
654.0,51,99.672199
624.0,41,99.725768
483.0,41,99.770864
473.0,41,99.827518
634.0,41,99.883918
619.0,41,99.938078
636.0,41,99.986751
121.0,17,100.008792
622.0,51,100.068437
630.0,51,100.128541
592.0,41,100.173631
655.0,41,100.222209
618.0,41,100.275276
495.0,41,100.325901
334.0,35,100.372033
557.0,41,100.425619
590.0,51,100.481274
680.0,51,100.540405
714.0,51,100.602002
458.0,44,100.649581
484.0,42,100.696159
584.0,41,100.743282
555.0,43,100.789924
706.0,51,100.851585
472.0,41,100.896654
573.0,41,100.938727
628.0,41,100.98681
617.0,41,101.032398
192.0,22,101.057945
557.0,42,101.103548
585.0,41,101.151627
556.0,41,101.197688
628.0,41,101.243771
582.0,41,101.287849
592.0,41,101.329407
624.0,41,101.369964
600.0,42,101.422537
657.0,45,101.475624
602.0,42,101.525205
634.0,51,101.581803
584.0,41,101.634398
551.0,41,101.678744
613.0,41,101.726328
634.0,51,101.786648
560.0,41,101.83727
613.0,41,101.881367
574.0,51,101.941517
637.0,41,101.993662
564.0,41,102.202475
604.0,41,102.248042
632.0,41,102.291602
631.0,41,102.340167
603.0,41,102.400757
611.0,41,102.448324
708.0,51,102.513929
689.0,41,102.559516
594.0,41,102.604117
625.0,42,102.658244
706.0,51,102.712414
652.0,51,102.769553
689.0,41,102.816138
630.0,44,102.869772
649.0,41,102.937866
644.0,42,102.996476
556.0,41,103.048588
596.0,42,103.102719
744.0,51,103.157819
601.0,43,103.207637
644.0,42,103.259735
594.0,41,103.31083
595.0,41,103.36292
541.0,41,103.406975
633.0,41,103.453111
570.0,41,103.498213
619.0,41,103.549808
592.0,45,103.599379
745.0,51,103.664068
607.0,44,103.714695
670.0,41,103.764832
621.0,41,103.814953
568.0,41,103.86108
594.0,41,103.903834
568.0,41,103.947786
600.0,41,103.990356
648.0,42,104.036408
651.0,41,104.084501
581.0,43,104.131081
605.0,41,104.210733
538.0,41,104.29545
657.0,51,104.394494
631.0,41,104.478711
653.0,41,104.530807
583.0,42,104.722125
715.0,51,104.779758
729.0,51,104.83534
591.0,41,104.880433
540.0,41,104.936035
556.0,42,104.993711
689.0,51,105.063396
613.0,51,105.131007
636.0,41,105.177081
613.0,41,105.22166
537.0,41,105.265731
591.0,42,105.315325
723.0,41,105.362494
360.0,33,105.408555
564.0,43,105.456144
595.0,41,105.499728
694.0,53,105.562855
629.0,41,105.610417
603.0,41,105.653998
725.0,51,105.707572
602.0,42,105.758636
640.0,41,105.807228
676.0,51,105.867841
647.0,41,105.912427
628.0,41,105.958015
579.0,41,106.009597
623.0,41,106.05318
513.0,42,106.10177
617.0,41,106.14784
564.0,41,106.189918
608.0,41,106.239498
593.0,43,106.292288
595.0,43,106.341866
556.0,41,106.385444
737.0,51,106.443552
554.0,42,106.503808
560.0,41,106.551794
616.0,41,106.600891
636.0,41,106.643964
575.0,41,106.694123
577.0,41,106.738194
654.0,42,106.785276
590.0,41,106.829846
550.0,41,106.878441
637.0,41,106.926024
559.0,41,106.970114
629.0,41,107.021713
669.0,41,107.077842
573.0,41,107.124422
540.0,43,107.174533
566.0,42,107.221127
580.0,41,107.26574
680.0,41,107.309349
611.0,42,107.352456
541.0,41,107.404583
609.0,41,107.454685
559.0,41,107.639631
601.0,41,107.688606
575.0,41,107.732881
564.0,41,107.777791
574.0,41,107.825999
560.0,41,107.87011
717.0,52,107.926677
662.0,41,107.97075
621.0,43,108.021374
622.0,41,108.073491
638.0,42,108.118168
644.0,41,108.169775
624.0,61,108.245384
628.0,51,108.302999
606.0,41,108.353586
572.0,41,108.396169
665.0,41,108.447755
695.0,51,108.521409
591.0,41,108.567989
683.0,51,108.626128
620.0,41,108.680264
502.0,42,108.739796
648.0,41,108.782391
700.0,51,108.836547
671.0,41,108.885205
578.0,41,108.927272
634.0,41,108.972369
530.0,43,109.020947
610.0,41,109.072051
576.0,41,109.137133
571.0,41,109.181212
636.0,41,109.223271
574.0,41,109.267844
605.0,42,109.323991
611.0,41,109.376136
670.0,41,109.447823
520.0,44,109.516036
526.0,41,109.595363
654.0,41,109.649475
563.0,41,109.699573
614.0,44,109.75623
632.0,41,109.802327
614.0,44,109.850891
674.0,51,109.913497
145.0,16,109.93153
746.0,51,109.995128
700.0,51,110.054245
636.0,41,110.100349
651.0,41,110.152922
604.0,41,110.197985
640.0,52,110.258571
609.0,41,110.30464
674.0,51,110.358712
673.0,41,110.410326
554.0,41,110.452395
547.0,41,110.494951
721.0,51,110.556037
632.0,41,110.602116
662.0,41,110.647175
532.0,41,110.699759
725.0,51,111.020152
615.0,41,111.07087
627.0,51,111.125461
590.0,41,111.175044
671.0,41,111.218109
530.0,51,111.278193
653.0,42,111.330292
607.0,41,111.380895
673.0,41,111.434496
663.0,51,111.509695
624.0,41,111.558782
616.0,41,111.60837
639.0,41,111.67356
582.0,41,111.722133
617.0,41,111.77395
706.0,51,111.833092
549.0,41,111.884181
548.0,41,111.931762
639.0,41,111.979835
605.0,41,112.025917
624.0,41,112.077508
771.0,51,112.133585
710.0,51,112.19068
711.0,41,112.243255
490.0,41,112.291844
574.0,41,112.343418
650.0,41,112.393487
673.0,41,112.442087
592.0,42,112.492177
528.0,41,112.540787
593.0,41,112.585382
547.0,41,112.641507
608.0,41,112.694625
752.0,51,112.752724
605.0,42,112.809769
629.0,41,112.855509
691.0,51,112.913389
594.0,41,112.960099
51.0,11,112.975151
619.0,41,113.030298
654.0,41,113.116973
675.0,41,113.1777
672.0,51,113.244878
597.0,41,113.295601
609.0,42,113.338661
673.0,41,113.385757
658.0,52,113.442858
677.0,51,113.505448
563.0,41,113.55806
586.0,41,113.624269
544.0,42,113.689467
648.0,51,113.782778
693.0,41,113.851466
727.0,51,113.954293
611.0,41,114.022529
773.0,51,114.123356
536.0,41,114.192524
631.0,41,114.262194
565.0,51,114.342923
589.0,41,114.416106
613.0,41,114.504401
628.0,41,114.571635
615.0,41,114.641448
604.0,41,114.728236
642.0,51,114.827426
655.0,41,114.908613
597.0,41,114.963797
556.0,41,115.017921
608.0,41,115.068024
665.0,51,115.131647
613.0,41,115.182797
644.0,42,115.23639
620.0,52,115.295989
616.0,41,115.359301
626.0,41,115.419728
630.0,41,115.472414
618.0,41,115.524044
721.0,51,115.587653
566.0,51,115.651304
628.0,42,115.70143
654.0,41,115.753057
632.0,41,115.806208
528.0,41,115.855833
452.0,41,115.906968
518.0,43,115.961118
606.0,42,116.00776
540.0,41,116.051408
635.0,41,116.111529
648.0,41,116.157603
510.0,41,116.210742
644.0,41,116.25782
634.0,44,116.303901
630.0,41,116.35351
505.0,41,116.401631
744.0,51,116.458211
659.0,41,116.500277
613.0,41,116.546353
266.0,24,116.574436
672.0,51,116.637522
47.0,10,116.648037
613.0,42,116.702124
610.0,41,116.744199
541.0,41,116.789368
261.0,27,116.821782
635.0,41,116.8645
544.0,41,116.917652
609.0,41,116.965019
618.0,41,117.014651
653.0,41,117.063282
629.0,55,117.131961
591.0,41,117.184591
635.0,41,117.240732
601.0,41,117.283792
714.0,51,117.340457
529.0,41,117.383026
520.0,41,117.427084
582.0,42,117.473161
633.0,41,117.524742
661.0,41,117.820981
625.0,42,117.872101
489.0,41,117.919695
590.0,41,117.962809
572.0,41,118.010923
635.0,41,118.056992
551.0,42,118.106567
610.0,42,118.160646
625.0,42,118.220739
666.0,54,118.289327
613.0,41,118.335402
614.0,41,118.382496
614.0,43,118.438075
597.0,41,118.481154
606.0,42,118.532739
659.0,41,118.580849
625.0,41,118.630483
666.0,51,118.696152
615.0,43,118.750227
556.0,41,118.804321
580.0,43,118.854923
500.0,42,118.907042
683.0,41,119.021555
614.0,41,119.086489
484.0,43,119.151565
605.0,43,119.209683
559.0,52,119.295671
601.0,41,119.366574
627.0,42,119.427731
496.0,43,119.488523
675.0,41,119.555214
640.0,41,119.611856
582.0,41,119.657926
609.0,42,119.712552
592.0,51,119.786456
659.0,41,119.842068
607.0,41,119.891745
559.0,41,119.96865
692.0,41,120.043369
688.0,41,120.126089
666.0,41,120.186686
632.0,41,120.248791
578.0,41,120.297898
613.0,41,120.350006
652.0,41,120.394597
616.0,41,120.44318
576.0,54,120.504809
703.0,52,120.567915
587.0,42,120.612013
541.0,41,120.658072
633.0,42,120.721171
652.0,41,120.770797
75.0,15,120.794386
539.0,41,120.847016
658.0,51,120.905686
636.0,41,120.953307
631.0,42,120.999436
600.0,41,121.041491
597.0,41,121.086082
632.0,41,121.129638
628.0,52,121.182728
559.0,41,121.224796
680.0,52,121.282414
594.0,41,121.328484
555.0,41,121.371067
688.0,41,121.41565
669.0,41,121.459716
566.0,41,121.4998
647.0,41,121.545855
628.0,41,121.590971
654.0,41,121.634021
639.0,42,121.677582
673.0,41,121.722165
550.0,41,121.768303
635.0,41,121.813402
654.0,41,121.858456
557.0,41,121.916064
522.0,44,121.971178
588.0,41,122.03022
559.0,41,122.086429
484.0,41,122.144318
595.0,51,122.200464
653.0,53,122.261601
608.0,53,122.331282
628.0,41,122.37739
555.0,41,122.430039
563.0,41,122.476152
609.0,42,122.529805
597.0,42,122.579386
669.0,41,122.636018
733.0,51,122.724725
725.0,51,122.7828
576.0,41,122.827864
673.0,41,122.879455
578.0,41,122.929633
614.0,41,122.977345
588.0,41,123.019612
581.0,41,123.069293
552.0,41,123.111611
616.0,43,123.154845
620.0,41,123.201076
646.0,41,123.249307
651.0,41,123.291789
580.0,41,123.373209
562.0,41,123.425467
623.0,41,123.474479
672.0,41,123.517536
647.0,42,123.563117
614.0,41,123.60517
418.0,40,123.648226
504.0,42,123.695795
645.0,51,123.756924
548.0,41,123.815603
534.0,41,123.865183
578.0,41,123.909761
655.0,51,123.965342
728.0,51,124.032532
605.0,41,124.228265
632.0,41,124.270848
567.0,41,124.317165
607.0,41,124.363308
623.0,51,124.419935
581.0,41,124.520087
590.0,41,124.567148
601.0,41,124.61767
639.0,51,124.677763
563.0,41,124.724363
559.0,41,124.773038
555.0,42,124.828171
635.0,51,124.89635
688.0,51,124.956437
597.0,41,125.008543
613.0,41,125.054131
583.0,41,125.104274
620.0,41,125.161428
603.0,41,125.242151
590.0,42,125.315343
748.0,51,125.400525
654.0,41,125.458094
649.0,41,125.512726
674.0,41,125.561341
590.0,41,125.604903
580.0,42,125.654471
542.0,43,125.705579
614.0,41,125.755207
605.0,41,125.808353
553.0,42,125.860498
608.0,42,125.911573
542.0,41,125.959645
655.0,41,126.007792
570.0,42,126.060888
616.0,42,126.106454
602.0,41,126.157019
725.0,52,126.229697
573.0,41,126.285287
583.0,42,126.33939
587.0,52,126.415906
562.0,41,126.467931
626.0,41,126.516632
590.0,42,126.567812
696.0,41,126.611952
611.0,44,126.665559
611.0,41,126.732666
619.0,51,126.786744
563.0,41,126.833315
755.0,51,126.889946
633.0,41,126.945593
639.0,41,127.002263
574.0,41,127.048023
566.0,41,127.099612
253.0,27,127.134163
668.0,41,127.17822
569.0,41,127.223305
654.0,41,127.265362
635.0,41,127.309435
672.0,51,127.367014
581.0,41,127.415091
611.0,41,127.463671
680.0,51,127.528356
624.0,41,127.57699
541.0,41,127.628141
587.0,42,127.672719
688.0,41,127.717286
637.0,41,127.762855
617.0,41,127.805435
564.0,43,127.853016
520.0,41,127.896589
712.0,51,127.950684
569.0,41,127.997275
622.0,51,128.05986
714.0,51,128.117956
651.0,41,128.171077
650.0,51,128.231703
578.0,41,128.28528
725.0,51,128.345903
692.0,41,128.398554
722.0,51,128.449636
152.0,19,128.470687
616.0,41,128.515779
505.0,42,128.561341
615.0,41,128.61845
561.0,41,128.674178
624.0,41,128.723842
630.0,41,128.774433
582.0,41,128.820522
592.0,42,128.872095
130.0,14,128.885613
652.0,41,128.928187
627.0,41,128.975757
648.0,41,129.023883
639.0,42,129.088979
605.0,41,129.148063
562.0,41,129.191652
533.0,42,129.24323
590.0,41,129.291806
645.0,41,129.339368
654.0,41,129.387489
628.0,47,129.45015
574.0,41,129.499785
685.0,51,129.562958
599.0,52,129.624646
616.0,41,129.672231
639.0,41,129.813007
639.0,41,129.865288
602.0,43,129.909413
654.0,51,129.967061
598.0,41,130.025729
658.0,41,130.076314
616.0,41,130.119391
613.0,41,130.161454
711.0,41,130.210018
521.0,41,130.260624
715.0,51,130.316225
616.0,41,130.36481
596.0,41,130.437996
648.0,51,130.717796
625.0,42,130.764373
569.0,41,130.820578
623.0,41,130.882379
633.0,41,130.954034
635.0,41,131.011664
587.0,43,131.064277
596.0,41,131.114419
630.0,41,131.167035
625.0,43,131.221693
639.0,41,131.267763
453.0,38,131.322098
665.0,41,131.370708
639.0,41,131.423798
564.0,41,131.475385
623.0,41,131.532024
540.0,41,131.584637
654.0,41,131.631706
472.0,42,131.686283
691.0,51,131.740891
554.0,41,131.784973
566.0,51,131.846616
547.0,41,131.891218
594.0,41,131.943295
614.0,41,131.996354
654.0,41,132.045967
555.0,41,132.096104
632.0,41,132.144679
696.0,41,132.187732
652.0,41,132.241314
683.0,41,132.286398
715.0,53,132.343014
605.0,51,132.400611
631.0,41,132.443672
564.0,41,132.488731
694.0,41,132.537826
623.0,51,132.595442
578.0,41,132.645032
657.0,51,132.698127
635.0,41,132.750271
614.0,41,132.798714
607.0,42,132.84158
581.0,41,132.889563
596.0,41,132.951154
613.0,42,133.003246
727.0,41,133.07018
668.0,41,133.134145
574.0,42,133.20286
658.0,41,133.323673
661.0,42,133.380785
610.0,41,133.428376
645.0,41,133.476968
725.0,51,133.532591
632.0,42,133.580166
614.0,41,133.624766
598.0,41,133.667838
661.0,51,133.72546
606.0,42,133.776051
622.0,44,133.827149
741.0,52,133.88425
567.0,41,133.93334
577.0,41,133.977406
626.0,44,134.028494
625.0,42,134.078071
619.0,41,134.122165
653.0,41,134.170748
778.0,51,134.224344
591.0,41,134.26741
646.0,41,134.30948
514.0,42,134.354063
524.0,41,134.398628
664.0,41,134.440711
480.0,41,134.486795
625.0,42,134.530878
591.0,42,134.592961
521.0,41,134.64204
658.0,41,134.686107
555.0,44,134.738186
562.0,51,134.800403
649.0,41,134.846512
610.0,41,134.893127
654.0,41,134.942776
640.0,43,134.993398
592.0,41,135.041995
635.0,41,135.089575
617.0,41,135.131691
545.0,41,135.173755
613.0,41,135.258454
578.0,41,135.316454
610.0,41,135.362555
710.0,51,135.425206
546.0,43,135.476776
528.0,43,135.527861
632.0,41,135.578434
585.0,42,135.636946
594.0,41,135.707763
710.0,51,135.797529
518.0,41,135.868592
604.0,41,135.927262
633.0,41,135.985398
615.0,51,136.054611
649.0,51,136.115758
614.0,41,136.163331
631.0,41,136.208213
640.0,51,136.269351
602.0,43,136.316933
629.0,41,136.361515
632.0,41,136.414656
616.0,51,136.468275
668.0,41,136.519924
703.0,51,136.591616
676.0,51,136.660809
582.0,41,136.711941
520.0,41,136.754995
35.0,9,136.763508
597.0,48,136.816355
590.0,43,136.860631
